link,title,OG price,DC price,Composition,GSM,Colour
https://www.bonkerscorner.com/product/light-blue-parachute-pants-2/,Light Blue Parachute Pants,₹1499.00,₹999.00,100% cotton,200,Light Blue
https://www.bonkerscorner.com/product/black-full-sleeves-waffle-zipper/,Black Full Sleeves Waffle Zipper,₹1999.00,"₹1,499.00",60% cotton 40% polyester,300,Black
https://www.bonkerscorner.com/product/grey-full-sleeves-waffle-zipper/,Grey Full Sleeves Waffle Zipper,₹1999.00,"₹1,499.00",60% cotton 40% polyester,300,Grey
https://www.bonkerscorner.com/product/blue-half-zip-waffle-sweatshirt/,Blue Half Zip Waffle Sweatshirt,₹1999.00,"₹1,499.00",60% cotton 40% polyester,300,Blue
https://www.bonkerscorner.com/product/black-half-zip-waffle-sweatshirt/,Black Half Zip Waffle Sweatshirt,₹1999.00,"₹1,499.00",60% cotton 40% polyester,300,Black
https://www.bonkerscorner.com/product/xo-smiley-baseball-cap/,XO Smiley Baseball Cap,₹999,₹599.00,100% cotton,220,
https://www.bonkerscorner.com/product/alien-black-baseball-cap/,Alien Black Baseball Cap,₹999,₹599.00,100% cotton,220,
https://www.bonkerscorner.com/product/bonkers-signature-alien-cap/,Bonkers Signature Alien Cap,₹999,₹599.00,100% cotton,220,
https://www.bonkerscorner.com/product/bonkers-signature-alien-cap/,Bonkers Signature Alien Cap,₹999,₹599.00,100% cotton,220,
https://www.bonkerscorner.com/product/black-parachute-pants-2/,Black Parachute Pants,₹1499.00,₹999.00,100% cotton,200,
https://www.bonkerscorner.com/product/wicked-oversized-t-shirt/,Wicked Oversized T-shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/coder-oversized-t-shirt/,Coder Oversized T-shirt,₹999.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/attack-on-titan-oversized-t-shirt/,Attack On Titan Oversized T-shirt,₹999.00,₹399.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/hope-oversized-t-shirt/,Hope Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/samurai-oversized-t-shirt/,Samurai Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/marvel-solar-active-oversized-heavyweight-hoodie-fleece/,Marvel Solar Active Oversized Heavyweight Hoodie(Fleece),₹2399.00,"₹1,899.00",60% Cotton 40% Polyester,380,
https://www.bonkerscorner.com/product/marvel-assemble-oversized-t-shirt/,Marvel Assemble Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/iron-man-oversized-heavyweight-hoodie-fleece/,Iron Man Oversized Heavyweight Hoodie(Fleece),₹2099.00,"₹1,599.00",60% Cotton 40% Polyester,380,
https://www.bonkerscorner.com/product/ghost-rider-oversized-t-shirt-glow-in-dark/,Ghost Rider Oversized T-shirt (Glow In Dark),₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/wolverine-oversized-t-shirt/,Wolverine Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/incredible-hulk-oversized-t-shirt/,Incredible Hulk Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/captain-america-joggers/,Captain America Joggers(Fleece),₹1599.00,"₹1,099.00",60% Cotton 40% Polyester,320,
https://www.bonkerscorner.com/product/super-solider-sweatshirt/,Super Soldier Sweatshirt,₹1599.00,"₹1,099.00",60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/venom-oversized-t-shirt/,Venom Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/venom-oversized-t-shirt/,Venom Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/captain-america-jersey-shorts/,Captain America Jersey Shorts,₹1199.00,₹699.00,100% cotton,220,
https://www.bonkerscorner.com/product/panther-jersey-oversized-t-shirt/,Panther Jersey Oversized T-shirt,₹1499.00,₹999.00,100% cotton,180,
https://www.bonkerscorner.com/product/captain-america-jersey-oversized-t-shirt/,Captain America Jersey Oversized T-shirt,₹1499.00,₹999.00,100% cotton,180,
https://www.bonkerscorner.com/product/scion-of-asgard-oversized-t-shirt/,Scion Of Asgard Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/first-aveneger-oversized-t-shirt/,First Avenger Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/wakanda-forever-oversized-t-shirt/,Wakanda Forever Oversized T-shirt,₹1299.00,₹799.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/spider-man-oversized-t-shirt/,Spider-Man Oversized T-shirt,₹1199.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/marvel-signature-oversized-t-shirt/,Marvel Signature Oversized T-shirt,₹1199.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/legacy-of-23-oversized-t-shirt/,Legacy of 23 Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/justice-for-all-oversized-t-shirt/,Justice For All Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/the-metallica-skull-oversized-t-shirt/,The Metallica Skull Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/darker-and-heavier-metallica-oversized-t-shirt/,Darker And Heavier Metallica Oversized T-shirt,₹999.00,₹699.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/head-empty-oversized-t-shirt/,Head Empty Oversized T-shirt,₹899.00,₹599.00,100% premium cotton,180,
https://www.bonkerscorner.com/product/west-coast-oversized-t-shirt/,West Coast Oversized T-shirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/grey-polo-sweatshirt/,Grey Polo Sweatshirt,₹1499.00,"₹1,199.00",60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/black-polo-sweatshirt/,Black Polo Sweatshirt,₹1499.00,"₹1,199.00",60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/navy-blue-polo-sweatshirt/,Navy Blue Polo Sweatshirt,₹1499.00,"₹1,199.00",60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/chief-polo/,Chief Polo,₹899.00,₹599.00,100% premium cotton,230,
https://www.bonkerscorner.com/product/signature-crew-polo/,Signature Crew Polo,₹999.00,₹699.00,100% premium cotton,230,
https://www.bonkerscorner.com/product/paradise-oversized-tshirt/,Paradise Oversized Tshirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/lazy-sloth-oversized-tshirt/,Lazy Sloth Oversized Tshirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/eldorado-oversized-t-shirt/,Eldorado Oversized T-shirt,₹899.00,₹599.00,100% premium cotton,180,
